Pside_AnkleAngles,Pside_KneeAngles,Pside_HipAngles,Pside_PelvisAngles,Pside_GASnorm,Pside_RFnorm,Pside_VLnorm,Pside_BFnorm,Pside_STnorm,Pside_TAnorm,Pside_ERSnorm,Nside_AnkleAngles,Nside_KneeAngles,Nside_HipAngles,Nside_PelvisAngles,Nside_GASnorm,Nside_RFnorm,Nside_VLnorm,Nside_BFnorm,Nside_STnorm,Nside_TAnorm,Nside_ERSnorm
-1.4016169914352508,15.116611768820704,26.119195374617554,8.059824859633864,0.01810907964572845,0.18932259382396008,0.2510276938515543,0.07749889807533142,0.06156917770274091,0.2151000299780253,0.26530585352204483,6.866161137114536,30.722258621582984,28.93016060196785,6.384168480947746,0.1723950949783445,0.23853372602567605,0.23359997265939242,0.10045523545320385,0.18689922928980343,0.341284138541412,0.3198785309558724
-1.4203561057608198,14.807738895912951,26.04971005105592,8.077901344381507,0.01797552842624753,0.19091275563432536,0.25696939039432865,0.07644668125240364,0.0593939007374009,0.21914336058673078,0.2656573415325395,6.873023467632031,30.598441666474166,28.888851748759727,6.353917252519985,0.17225374805628876,0.24316883646073667,0.23668132868509387,0.09927664037588452,0.1871198100236908,0.3451431593330846,0.31763555925742215
-1.4390244842529447,14.50035683239667,25.97956362260024,8.095973290862016,0.017890967004598322,0.19237299538928793,0.2609061375324621,0.07596236820422206,0.057567903002022615,0.22283127938529085,0.26604817116134427,6.879193663737446,30.472885889987577,28.84551619356044,6.32395868610324,0.17178302390450167,0.2479102565255949,0.24035782842233117,0.09836751423136067,0.18805491805752234,0.34888495994139135,0.3125397865781042
-1.4576061513970253,14.194580950150325,25.908830333885117,8.114096969319704,0.01788305858279033,0.193036047587565,0.26272839242829843,0.07622123985433776,0.05616979336641061,0.22651398024560027,0.2663654720931336,6.8846487875826154,30.345935102441125,28.80053495828634,6.294331307882285,0.1720323623644268,0.25222065587097797,0.2441194718790248,0.09730218981084003,0.1894013941944111,0.3511194876738357,0.305301069990347
-1.4760000124320822,13.890536860520603,25.83753908783591,8.132343091393508,0.01795012025249839,0.19257087051370303,0.26345029607113607,0.07681332521419326,0.05513801900871558,0.2307671410911604,0.267311002783932,6.889497101033252,30.217777294014343,28.754264963512092,6.264968737601217,0.17362244262626186,0.255670935396061,0.2467149381782771,0.09561839586831768,0.19091716656839028,0.35148170876218254,0.2978445528308594
-1.4941334784702809,13.588362291849833,25.765713139323175,8.150692737265095,0.01805500439499057,0.1913694782764198,0.2645239851803236,0.07694424956606663,0.05434313205289959,0.23584970175805164,0.2697472448008895,6.893716849253316,30.088413113152892,28.70686282768147,6.235841968390757,0.17643360303938915,0.25835264511583717,0.24707992720249422,0.09312413808396905,0.19252211152929816,0.35099500252198795,0.2920270280225445
-1.5121781341466503,13.28838080374695,25.693463638148227,8.169105495502638,0.018139980632774628,0.19041970771564024,0.2662720747446704,0.07600867592324216,0.05368537942251243,0.2417522696397159,0.2737186824718595,6.897197833028128,29.95795938942274,28.65828037112981,6.207012158149345,0.17955934564482504,0.2606529867349654,0.2451473686527547,0.08996842646288039,0.19431914465156083,0.3506550482138433,0.28895330184821266
-1.530348133856044,12.99053090843123,25.62078233808945,8.187537926596198,0.018153790672765513,0.1906752074612,0.26801447734659417,0.07406458337271152,0.05311429955630829,0.24797826096382072,0.27815075249227283,6.900105837777888,29.825996757448774,28.607809375081512,6.178496464871198,0.18190719891901821,0.2628836989223237,0.24201023742948086,0.08653004517907693,0.19655572226579662,0.35109360644919235,0.2883520612855044
-1.548974930059816,12.694808273920069,25.547687557671022,8.205973910262443,0.018083617228377848,0.19237448648970704,0.2686144340681508,0.07176191318711204,0.05263382003688546,0.25392254783677864,0.28159315657000583,6.9022598496350245,29.692381983699068,28.55532005074868,6.150323266610346,0.18278882709581779,0.2648389029467114,0.239594618706732,0.08324617070484133,0.19938361991627804,0.35163627426634536,0.28896844470064986
-1.5682223845599519,12.40110774574001,25.47420949128382,8.224459089426976,0.017982330328866744,0.1951640638808005,0.2674540494988441,0.06993781221050874,0.052267275084496335,0.259150832257072,0.28309598941373143,6.903753768156567,29.55675265013526,28.501312084030424,6.12252304337767,0.18252246154027327,0.2664015193726367,0.2394749034387686,0.08055255165907416,0.20270396597083154,0.3510814647962731,0.28968765846708167
-1.5878495731099331,12.109666574262397,25.400459155640036,8.243084042099557,0.017935947939130854,0.19849888306612112,0.26460975804579956,0.06911591059463038,0.052066972319194396,0.2633835010891573,0.2827827584325449,6.904740658540251,29.419330372242946,28.445852824293816,6.09510071790708,0.18204464780764787,0.26799656890509543,0.24229463986651362,0.07864344661754348,0.20595612907658217,0.34867395578524757,0.290013145292955
-1.6075348461474903,11.82065834494264,25.326451922013497,8.261839311988169,0.018006590525861794,0.2017234016922535,0.26071411802367994,0.06929497637483165,0.05207023257205847,0.26592848469310126,0.2817743108804613,6.905147100757143,29.280129042099322,28.38907002820327,6.067988780014141,0.1822654754541774,0.2706428227091525,0.24731707575651418,0.07733447976700977,0.2085220560291709,0.3446604198909048,0.29054572162905556
-1.6271615765382097,11.534414365505466,25.25227802297985,8.280693458393387,0.018171876378573905,0.20465660560704352,0.2562011224973879,0.07016084438859885,0.052286422726172774,0.2663282597252058,0.2816266911085288,6.904939417843954,29.13939604313494,28.331079087085612,6.041191846641368,0.1833018145715287,0.27493670321514047,0.2529747935338395,0.07619152806206637,0.210261188555394,0.34048967596411667,0.2920737394117927
-1.646807996938734,11.250942955982014,25.177932613659603,8.299605053460017,0.018354334883798493,0.20729512707764902,0.25111803218769474,0.07141308479149615,0.05265488275906072,0.2651019008094362,0.2834894196794989,6.904021457595848,28.99723834968284,28.271795597514217,6.014721117682575,0.18469235467212708,0.2802293862817963,0.25772682207967545,0.07481949345902393,0.21140733350344648,0.33799358387128486,0.2948302514026953
-1.6667586325168706,10.970282024179339,25.10343400002836,8.318536047988076,0.018494396669765486,0.20988125903319918,0.2457436609101241,0.07292871744668974,0.05304647157761083,0.26398225851814383,0.2876038144368624,6.9020067959750495,28.853459053918442,28.211002033381142,5.988575338813559,0.1858831368920982,0.28514121797941555,0.2605053873625839,0.07317295213503631,0.21207361903196092,0.3381622464598904,0.2986635785451451
